Trial Number,Epochs,Average,time-sec
7,50,8.88,349.11181159999988
8,50,5.04,607.9946596000009
9,50,9.02,441.5433735999977
10,50,16.78,253.31454119999762
11,50,8.22,461.1144611999989
12,50,24.6,313.2659595999867
13,50,9.38,457.03814960000454
